configname,sendInt,minPRR,minPRR_error,meanPRR,meanPRR_error,maxDelay,maxDelay_error,meanDelay,meanDelay_error
CSMA,2.0,1.0,0,1.0,0,0.011258737879,0,0.00949760360653,0
DSME,2.0,1.0,0,1.0,0,1.40486992601,0,0.347583075481,0
