configname,sendInt,minPRR,minPRR_error,meanPRR,meanPRR_error,maxDelay,maxDelay_error,meanDelay,meanDelay_error
DSME,2.0,0.99,0,0.999508196721,0,8.62444880781,0,1.09953510578,0
CSMA,2.0,0.94,0,0.981967213115,0,0.134218001384,0,0.0304180915326,0
